id,a
a2,17831
a2,13239
a2,12725
a2,22465
a2,18088
a2,15015
a2,12131
a2,14051
a2,22585
a2,13763
a2,11951
a2,16131
a2,15737
a2,13857
a2,16948
a2,17721
a2,16765
a2,18685
a2,24447
a2,19696
a2,12744
a2,14660
a2,21351
a2,13013
a2,13622
a2,7109
a2,15645
a2,10491
a2,6928
a2,11204
a2,8084
a2,18233
a2,18772
a2,15153
a2,11805
a2,9126
a2,9532
a2,11494
a2,14240
a2,16876
a2,20189
a2,19457
a2,17119
a2,12362
a2,11009
a2,9458
a2,18221
a2,12422
a2,17273
a2,9674
a2,18830
a2,17051
a2,22867
a2,17212
a2,23137
a2,19145
a2,13630
a2,12138
a2,20994
a2,17461
a2,11600
a2,16636
a2,18104
a2,15804
a2,14697
a2,13216
a2,10985
a2,13715
a2,18540
a2,25964
a2,20813
a2,15297
a2,14248
a2,14085
a2,5124
a2,28248
a2,18200
a2,22232
a2,14575
a2,17494
a2,18369
a2,12288
a2,23955
a2,20610
a2,27327
a2,20868
a2,179363
a2,14234
a2,13052
a2,10338
a2,24424
a2,20655
a2,12294
a2,9465
a2,26710
a2,19678
